Academic Yr,Year Term,Semester,Ungrad Grad,Entry Status,College/School,Academic Division,Academic Department,Major Short Nm,Student Headcount,Prorated Student Count
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,130,130
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,391,391
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Applied Sci & Tech Grad Grp,Applied Science & Tech,34,33.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,116,116
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Bioengineering-UCSF Grad Grp,Bioengineering (UCSF),72,72
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil & Environmental Eng,346,339.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Computer Science,238,236
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,319,317.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,93,92.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,99,99
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,337,335.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,65,64.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,174,171
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,City & Regional Planning,141,127
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Arch & Env Plan,13,12.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,65,60.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,Design,1,1
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Environmental Design,Clg of Environmental Design,Urban Design Grad Grp,Urban Design,7,7
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Anc Hist Med Arc Grad Grp,Anc Hist & Medit Archae,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classical Archaeology,4,4
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classics,30,29.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Art Practice,Art,12,12
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Buddhist Studies Grad Grp,Buddhist Studies,8,8
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Comparative Literature,Comparative Literature,63,63
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,13,13
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,18,18
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,English,English,129,125.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Film and Media,Film and Media,29,29
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,French,French,33,32.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,German,German,33,31
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,History of Art,History of Art,54,54
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Italian Studies,Italian Studies,19,18.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Jewish Studies Program,Jewish Studies,12,12
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Medieval Studies Program,Medieval Studies,16,8
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Middle Eastern Lang & Cultures,Near Eastern Studies,22,22
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Music,Music,51,51
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Near Eastern Religions GG,Near Eastern Religions,4,4
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Performance Studies Grad Grp,Performance Studies,23,23
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Philosophy,Philosophy,36,36
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Rhetoric,Rhetoric,50,50
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Romance Lang & Lit Grad Pgm,Romance Lang & Lit,15,14.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Scandinavian,Scandinavian Lang & Lit,11,10.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,22,22
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,24,24
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Hispanic Lang & Lit,29,29
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Biological Sciences Div,Biophysics Grad Grp,Biophysics,58,58
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Biological Sciences Div,Endocrinology Grad Grp,Endocrinology,14,14
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Biological Sciences Div,Integrative Biology,Integrative Biology,116,116
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,Molecular & Cell Biology,244,244
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Biological Sciences Div,Neuroscience Graduate Program,Neuroscience,57,57
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Astronomy,Astrophysics,31,31
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Earth & Planetary Science,57,57
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Geology,1,1
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Logic and Method of Science GG,Logic/Methodology of Science,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Mathematics,Applied Mathematics,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Mathematics,Mathematics,160,159.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Physics,Physics,232,231.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Math & Phys Sciences Div,Statistics,Statistics,65,59.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,African American Studies,African American Studies,25,25
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Anthropology,Anthropology,94,93.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Anthropology,Medical Anthropology,17,17
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Asian Studies Grad Grp,Asian Studies,19,19
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Demography,Demography,15,13.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Economics,Economics,121,117
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Ethnic Studies,Ethnic Studies,52,52
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Folklore Grad Grp,Folklore,7,6.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Geography,Geography,58,58
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Global Studies Grad Grp,International & Area Stds,6,3
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,History,History,177,176
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Latin American Studies GG,Latin American Studies,7,7
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Linguistics,Linguistics,47,46.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Political Science,Political Science,115,113.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Psychology,Psychology,102,101.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Sociology,Sociology,134,132.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Clg of Letters & Science, Social Sciences Division,Sociology and Demography GG,Sociology & Demography,8,6
2012-13,2012 Fall,Fall,Graduate,Graduate,Goldman School Public Policy,Goldman School Public Policy,Development Practice Grad Grp,Development Practice,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Goldman School Public Policy,Goldman School Public Policy,Public Policy,Public Policy,184,170
2012-13,2012 Fall,Fall,Graduate,Graduate,Grad School of Education,Grad School of Education,Education,Education,333,332.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Grad School of Education,Grad School of Education,Education,Special Education,11,11
2012-13,2012 Fall,Fall,Graduate,Graduate,Grad School of Education,Grad School of Education,Science & Math Educ Grad Grp,Science & Math Education,20,20
2012-13,2012 Fall,Fall,Graduate,Graduate,Grad School of Journalism,Grad School of Journalism,Journalism,Journalism,95,95
2012-13,2012 Fall,Fall,Graduate,Graduate,Graduate Division,Graduate Division,Interdisciplinary Doctoral Pgm,Grad Div Individual Major,1,1
2012-13,2012 Fall,Fall,Graduate,Graduate,Haas School of Business,Haas School of Business,Business,Berkeley-Columbia Exec MBA,64,64
2012-13,2012 Fall,Fall,Graduate,Graduate,Haas School of Business,Haas School of Business,Business,Business Administration,564,544.5
2012-13,2012 Fall,Fall,Graduate,Graduate,Haas School of Business,Haas School of Business,Business,Evening & Weekend MBA,763,763
2012-13,2012 Fall,Fall,Graduate,Graduate,Haas School of Business,Haas School of Business,Business,Financial Engineering,67,67
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Ag & Resource Econ & Pol,Ag & Resource Economics,77,75
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Comparative Biochem Grad Grp,Comparative Biochemistry,20,20
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Energy & Resources Grad Grp,Energy & Resources,59,56
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,"Env Sci, Policy, & Mgmt","Env Sci, Policy, & Mgmt",178,175
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,"Env Sci, Policy, & Mgmt",Forestry,8,6
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Metabolic Biology Grad Grp,Molecular & Biochem Nutrition,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Microbiology Grad Grp,Microbiology,43,43
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Molecular Toxicology Grad Grp,Molecular Toxicology,8,8
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Plant & Microbial Biology,Plant Biology,43,43
2012-13,2012 Fall,Fall,Graduate,Graduate,Rausser Clg Natural Resources,Rausser Clg Natural Resources,Rangeland & Wildlife Mgmt GG,Rangeland & Wildlife Mgmt,3,3
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Information,School of Information,Information,Info Mgmt & Systems,112,111.5
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Law,School of Law,JSP Graduate Program,Jurisprudence & Social Policy,42,40.5
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Law,School of Law,Law,Doctor of Science of Law (JSD),14,14
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Law,School of Law,Law,Law (JD),861,857
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Law,School of Law,Law,Master of Laws (LLM),161,161
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Optometry,School of Optometry,Optometry,Optometric Residency Cert,6,6
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Optometry,School of Optometry,Optometry,Optometry,264,264
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Optometry,School of Optometry,Vision Science Grad Grp,Vision Science,37,37
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Biostatistics Grad Grp,Biostatistics,35,34.5
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Environmental Health Sci GG,Environ Health Sciences,40,39.5
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Epidemiology Grad Grp,Epidemiology,30,28
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Health & Medical Sci Grad Grp,Health & Medical Sciences,48,48
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Health Policy GG,Hlth Servs & Pol Analysis,27,26
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Infectious Diseases & Immun GG,Infec Diseases & Immunity,15,15
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Public Health,On-Campus/Online Prfsnl MPH,26,26
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Public Health,School of Public Health,Public Health,Public Health,281,246.5
2012-13,2012 Fall,Fall,Graduate,Graduate,School of Social Welfare,School of Social Welfare,Social Welfare,Social Welfare,240,232.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,8,8
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/NE Joint Major,2,2
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,333,331.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,205,201.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,125,122.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,363,357.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,230,228.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,1007,991
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major,14,14
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,13,13
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/NE Joint Major,4,4
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,ME/NE Joint Major,6,6
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,24,24
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/NE Joint Major,3,3
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Computational Eng Science,1,1
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering,3,2
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,18,14.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,79,78
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Undeclared,131,131
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science,33,33
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,105,101.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,71,71
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,469,464
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,44,43.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,344,340.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,56,53
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,34,32
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Chemistry, Chemistry,6,5.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Computer Science, Computer Science,216,182
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Envir Econ & Policy, Environ Econ & Policy,42,35.83333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Legal Studies, Legal Studies,140,110
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Ops Rsch & Mgmt Sci, Ops Research & Mgmt Sci,30,22
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Public Health, Public Health,249,225.8333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Administered Programs, Social Welfare, Social Welfare,207,179
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classical Civilizations,18,15.33333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Classical Languages,9,6.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Ancient Greek & Roman Studies,Latin,2,1
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Art Practice,Art,35,27.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Comparative Literature,Comparative Literature,33,29
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,15,9.333333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,29,22
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,English,English,288,245.1666667
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Film and Media,Film,52,42.33333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,French,French,45,31.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,German,Dutch Studies,3,2.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,German,German,25,13.33333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,History of Art,History of Art,43,36
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Italian Studies,Italian Studies,10,6.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Middle Eastern Lang & Cultures,Near Eastern Civilizations,5,3.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Middle Eastern Lang & Cultures,Near Eastern Lang & Lit,8,5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Music,Music,77,65
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Philosophy,Philosophy,54,43.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Rhetoric,Rhetoric,108,84.66666667
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Scandinavian,Celtic Studies,4,2.333333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Scandinavian,Scandinavian,3,2
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,8,6.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,15,10.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,20,13
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Spanish-Iberian Lang & Lit,4,3
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,17,14.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Spanish-Luso-Brazil Lang & Lit,3,2.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,36,24.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,9,5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,51,38.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Integrative Biology,Integrative Biology,542,508
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,54,48.83333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,129,122.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,51,45.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,126,114.3333333
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,138,116.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Astronomy,Astrophysics,37,23
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Atmospheric Science,4,3.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,23,22
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Geology,22,21
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,22,21
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,30,28.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Earth & Planetary Science,Planetary Science,5,4
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Mathematics,Applied Mathematics,172,128.5
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Mathematics,Mathematics,125,97.16666667
2012-13,2012 Fall,Fall,Undergraduate,Freshman Entrant,Clg of Letters & Science, Math & Phys Sciences Div,Other Math & Physical Sci Pgms,Physical Sci Field Major,1,1
